ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
039575514X,My Antonia,Willa Cather,1995,Mariner Books
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
1573225487,The Romance Reader,Pearl Abraham,1996,Riverhead Books
1573228737,Affinity,Sarah Waters,2002,Riverhead Books
038542471X,The Client,John Grisham,1993,Doubleday Books
067103619X,Lake News,Barbara Delinsky,2000,Pocket
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch
1573225126,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997,Riverhead Books
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing
1853260622,War and Peace (Wordsworth Classics),Leo Tolstoy,1997,NTC/Contemporary Publishing Company
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
055358099X,Cloud Nine,Luanne Rice,2000,Bantam Books
014023828X,The Tortilla Curtain,T. Coraghessan Boyle,1996,Penguin Books
039914739X,Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group
081296666X,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,Villard Books
080213825X,Four Blondes,Candace Bushnell,2001,Grove Press
055356451X,Night Sins,TAMI HOAG,1995,Bantam
042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group
006017143X,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books
2070362388,Ravage,Rene Barjavel,0,Gallimard French
1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
2253063339,Les Fourmis,Bernard Werber,2002,LGF
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
3404118960,Die SÃ?Â¤ulen der Erde. Roman.,Ken Follett,1992,LÃ?Â¼bbe
039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
067175145X,The Way Things Ought to Be,"Rush H., III Limbaugh",1992,Pocket Books
044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
038533334X,Charming Billy,Alice McDermott,1999,Delta
068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
042512892X,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group
